"id","c28992r100","osm_id"
"E0957N4321_977501879","E0957N4321",977501879
"E0957N4321_4152147276","E0957N4321",4152147276
"E0957N4321_4152147277","E0957N4321",4152147277
"E0957N4321_4152147278","E0957N4321",4152147278
"E0957N4321_7660458188","E0957N4321",7660458188
"E0957N4321_7660458240","E0957N4321",7660458240
"E0957N4321_7660458241","E0957N4321",7660458241
"E0957N4321_9044905850","E0957N4321",9044905850
"E0957N4321_9044905852","E0957N4321",9044905852
"E0957N4321_9044905876","E0957N4321",9044905876
"E0957N4321_9044905878","E0957N4321",9044905878
"E0957N4322_54084712","E0957N4322",54084712
"E0957N4322_54090116","E0957N4322",54090116
"E0957N4322_89068452","E0957N4322",89068452
"E0957N4322_131952682","E0957N4322",131952682
"E0957N4322_133089732","E0957N4322",133089732
"E0957N4322_306396449","E0957N4322",306396449
"E0957N4322_820385515","E0957N4322",820385515
"E0957N4322_835822384","E0957N4322",835822384
"E0957N4322_835822402","E0957N4322",835822402
"E0957N4322_835822417","E0957N4322",835822417
"E0957N4322_835822429","E0957N4322",835822429
"E0957N4322_835822433","E0957N4322",835822433
"E0957N4322_919677996","E0957N4322",919677996
"E0957N4322_919677998","E0957N4322",919677998
"E0957N4322_919678026","E0957N4322",919678026
"E0957N4322_919678034","E0957N4322",919678034
"E0957N4322_977501879","E0957N4322",977501879
"E0957N4322_4152147277","E0957N4322",4152147277
"E0957N4322_4152147278","E0957N4322",4152147278
"E0957N4322_9044905850","E0957N4322",9044905850
"E0957N4322_9044905852","E0957N4322",9044905852
"E0957N4322_9044905876","E0957N4322",9044905876
"E0957N4322_9044905878","E0957N4322",9044905878
"E0957N4323_54084712","E0957N4323",54084712
"E0957N4323_54090116","E0957N4323",54090116
"E0957N4323_131952682","E0957N4323",131952682
"E0957N4323_306396449","E0957N4323",306396449
"E0957N4323_835822384","E0957N4323",835822384
"E0957N4323_835822402","E0957N4323",835822402
"E0957N4323_835822417","E0957N4323",835822417
"E0957N4323_835822429","E0957N4323",835822429
"E0957N4323_835822433","E0957N4323",835822433
"E0957N4323_919677996","E0957N4323",919677996
"E0957N4323_919677998","E0957N4323",919677998
"E0957N4323_919678026","E0957N4323",919678026
"E0957N4323_919678034","E0957N4323",919678034
"E0957N4323_4152147277","E0957N4323",4152147277
"E0957N4323_4152147278","E0957N4323",4152147278
"E0957N4323_9044905876","E0957N4323",9044905876
"E0957N4324_54090116","E0957N4324",54090116
"E0957N4324_131952682","E0957N4324",131952682
"E0957N4324_835822384","E0957N4324",835822384
"E0957N4324_835822402","E0957N4324",835822402
"E0957N4324_835822417","E0957N4324",835822417
"E0957N4324_835822429","E0957N4324",835822429
"E0957N4324_835822433","E0957N4324",835822433
"E0957N4324_919677996","E0957N4324",919677996
"E0957N4324_919677998","E0957N4324",919677998
